Object,Sequence,flvl_prob_0,flvl_prob_1,flvl_prob_2
10,0000,0.9968492388725281,0.00246239616535604,0.0006883797468617558
10,0001,0.0006489748484455049,0.13985109329223633,0.859499990940094
10,0002,0.0007632067427039146,0.34738844633102417,0.6518482565879822
10,0003,0.0010285115567967296,0.6093459725379944,0.38962551951408386
10,0004,0.9966082572937012,0.002668597036972642,0.00072313571581617
10,0005,0.0006331597687676549,0.2444896101951599,0.7548772096633911
10,0006,0.002190371509641409,0.9452291131019592,0.05258045345544815
10,0007,0.0011029057204723358,0.6826925277709961,0.3162044882774353
10,0008,0.0020020410884171724,0.9435793161392212,0.05441867932677269
10,0009,0.001018750132061541,0.6162205338478088,0.3827606737613678
10,0010,0.004953229799866676,0.9737827777862549,0.021263934671878815
10,0011,0.7391991019248962,0.2564544379711151,0.0043464950285851955
10,0012,0.0008177785784937441,0.4076794981956482,0.5915027260780334
10,0013,0.003538061399012804,0.9691276550292969,0.027334267273545265
10,0014,0.0016448156675323844,0.9165703058242798,0.08178490400314331
10,0015,0.0009298014920204878,0.5114879608154297,0.4875822365283966
10,0016,0.994767427444458,0.004379801452159882,0.0008527676109224558
10,0017,0.000523103924933821,0.1484818458557129,0.8509951233863831
10,0018,0.0006095264106988907,0.2139216959476471,0.7854686975479126
10,0019,0.0027467734180390835,0.9653339385986328,0.03191935271024704
10,0020,0.09406445175409317,0.8988365530967712,0.0070990086533129215
10,0021,0.0005441114772111177,0.15191905200481415,0.8475368618965149
10,0022,0.005587663501501083,0.9783316850662231,0.016080666333436966
10,0023,0.0016639054520055652,0.9267095327377319,0.07162654399871826
10,0024,0.00299045629799366,0.9674726724624634,0.02953692153096199
10,0025,0.9953828454017639,0.0037558279000222683,0.0008613682584837079
10,0026,0.0013799862936139107,0.8566206693649292,0.14199936389923096
10,0027,0.0006816021050326526,0.2900054156780243,0.7093130350112915
10,0028,0.0005788161070086062,0.19401733577251434,0.8054038286209106
10,0029,0.0007269278867170215,0.0626177042722702,0.9366554021835327
